Year,Country,Total Emissions
1750,OWID_WRL,9350528
1750,GBR,9350528
1750,LCA,0
1750,NER,0
1750,NGA,0
1750,NIC,0
1750,NIU,0
1750,NLD,0
1750,NOR,0
1750,NPL,0
1750,NRU,0
1750,NZL,0
1750,OMN,0
1750,OWID_KOS,0
1750,ABW,0
1750,PAK,0
1750,PAN,0
1750,PER,0
1750,PHL,0
1750,PLW,0
1750,PNG,0
1750,POL,0
1750,PRI,0
1750,PRK,0
1750,PRT,0
1750,PRY,0
1750,PSE,0
1750,NCL,0
1750,NAM,0
1750,MYT,0
1750,MHL,0
1750,LKA,0
1750,LSO,0
1750,LTU,0
1750,LUX,0
1750,LVA,0
1750,MAC,0
1750,MAR,0
1750,MDA,0
1750,MDG,0
1750,MDV,0
1750,MEX,0
1750,MKD,0
1750,MYS,0
1750,MLI,0
1750,MLT,0
1750,MMR,0
1750,MNE,0
1750,MNG,0
1750,MOZ,0
1750,MRT,0
1750,MSR,0
1750,MTQ,0
1750,MUS,0
1750,MWI,0
1750,PYF,0
1750,QAT,0
1750,REU,0
1750,URY,0
1750,TKM,0
1750,TLS,0
1750,TON,0
1750,TTO,0
1750,TUN,0
1750,TUR,0
1750,TUV,0
1750,TWN,0
1750,TZA,0
1750,UGA,0
1750,UKR,0
1750,USA,0
1750,THA,0
1750,UZB,0
1750,VCT,0
1750,VEN,0
1750,VGB,0
1750,VNM,0
1750,VUT,0
1750,WLF,0
1750,WSM,0
1750,YEM,0
1750,ZAF,0
1750,ZMB,0
1750,TJK,0
1750,TGO,0
1750,ROU,0
1750,SPM,0
1750,RUS,0
1750,RWA,0
1750,SAU,0
1750,SDN,0
1750,SEN,0
1750,SGP,0
1750,SHN,0
1750,SLB,0
1750,SLE,0
1750,SLV,0
1750,SOM,0
1750,SRB,0
1750,TCD,0
1750,SSD,0
1750,STP,0
1750,SUR,0
1750,SVK,0
1750,SVN,0
1750,SWE,0
1750,SWZ,0
1750,SXM,0
1750,SYC,0
1750,SYR,0
1750,TCA,0
1750,LIE,0
1750,LBY,0
1750,AF,0
1750,COD,0
1750,BRB,0
1750,BRN,0
1750,BTN,0
1750,BWA,0
1750,CAF,0
1750,CAN,0
1750,CHE,0
1750,CHL,0
